名称,J_shopt href,地址,city,经纬度,tel,time,北京树村丽景苑距离,北京树村丽景苑时间,北京海淀区万家灯火大厦距离,北京海淀区万家灯火大厦时间,北京海淀区上地5号咖啡厅距离,北京海淀区上地5号咖啡厅时间
沸点,https://www.dianping.com/shop/G6aFhyiZtBZ1jlns,"610 5th Ave S (between James St & Weller St), Seattle, WA（between James St & Weller St）",[西雅图],,-7378711,2024/10/14 0:02,,,,,,
西安小吃,https://www.dianping.com/shop/G1qa8R7sM9mMj4NO,"美国,WA,Seattle,5259 University Way NE,98105",[西雅图],,-5229093,2024/10/14 0:02,,,,,,
The Athenian Seafood Restaurant and Bar,https://www.dianping.com/shop/G21nhAtualerdvY5,"1517 Pike Pl, Seattle, WA 98101",[西雅图],,-6247371,2024/10/14 0:02,,,,,,
溪溪里汤泉,https://www.dianping.com/shop/H8KRqhIKaXnTR4PB,枫丹丽舍西路1号,[北京],,63248388,2024/10/14 0:02,,,,,,
爱泰风·泰式家常菜 RAK THAI,https://www.dianping.com/shop/l5mM7bmIWa16DmMr,"东大桥路8号SOHO尚都西塔东北角外围,负一层下沉花园B122",[北京],,15311882362,2024/10/14 0:02,,,,,,
贵凤凰贵州米粉,https://www.dianping.com/shop/ixt8FOSf9RXfxnGB,小营西路10号院1号楼裙楼和盈中心2层2-17-1,[北京],,18515508503,2024/10/14 0:00,,,,,,
小天府川菜馆,https://www.dianping.com/shop/jabouO6GrJMWzDA3,紫竹院街道民族大学西路中央民族大学西门南旁(近青年假日酒店),[北京],,13661020862,2024/10/13 23:59,,,,,,
泉味道贵州厨房,https://www.dianping.com/shop/l34n8GMTEI2wzrlQ,展览路街道三里河路6号(近全华电力书店、中国电力出版社),[北京],,88372129,2024/10/13 23:58,,,,,,
四爷牛拉,https://www.dianping.com/shop/G1l0aJyWNivtqIRu,中直路1号1层101-002号,[北京],,62880182,2024/10/13 13:05,,,,,,
KŌNG胶东小馆,https://www.dianping.com/shop/k4h7939v6hjylLZy,清河万象汇5层,[北京],,,2024/10/11 11:46,,,,,,
WorkBreak無國界融合餐廳,https://www.dianping.com/shop/l2Asf8Fny7jpee2f,上地东路1号院3号华控大厦北门1层109,[北京],,56352665,2024/10/11 8:26,,,,,,
Basic Element Coffee,https://www.dianping.com/shop/H3iqOeo4WziCix1S,清河滨水绿廊,[北京],,,2024/10/11 8:16,,,,,,
小红炉贵州私房菜·酸汤火锅,https://www.dianping.com/shop/kaRynI2JM04KVSdu,"日坛上街39号-3--71,朝阳区人民政府南门斜对面,小吊梨汤对面电梯上三层",[北京],,65529919,2024/10/10 23:58,,,,,,
但家香酥鸭,https://www.dianping.com/shop/G76LHdDGvmbAIm2P,西二环183号贵阳北站候车大厅2楼,[贵阳],,,2024/10/6 10:03,,,,,,
JuJu·小人物集合站,https://www.dianping.com/shop/l39RrOIg6TpNq5m8,阿云朵仓17号商铺,[贵阳],,16683901341,2024/10/5 19:40,,,,,,
雀亦ASPIR,https://www.dianping.com/shop/l1rpXEeolLi28fjj,长岭北路阿云朵仓B1层43号,[贵阳],,18984124226,2024/10/5 19:39,,,,,,
丝恋丝娃娃,https://www.dianping.com/shop/G3ta3DMYWqwb2WoO,观山东路与长岭南路美的悦然广场负一楼,[贵阳],,84849609,2024/10/5 18:55,,,,,,
欣欣干锅牛肉火锅,https://www.dianping.com/shop/H2IPcpnU9wvplAFJ,普陀路街道虎门巷18号,[贵阳],,13195114678,2024/10/5 17:41,,,,,,
丝恋丝娃娃,https://www.dianping.com/shop/l7ZMycPfarSVOHMR,长江路万科大都会4楼,[贵阳],,17279585132,2024/10/5 16:47,,,,,,
甜院,https://www.dianping.com/shop/H6BF7aZqyu9qblXG,解放路鸿通城2楼（鸿通城影城）,[贵阳],,15801999949,2024/10/5 16:44,,,,,,
甜院,https://www.dianping.com/shop/G6jwBqzPG4moUUkF,小十字文明路49号108,[贵阳],,15801999949,2024/10/5 16:44,,,,,,
江湖烤鸡,https://www.dianping.com/shop/G7EPGyJHXQHNF3GX,中东社区服务中心东新路101号门面,[贵阳],,18786717725,2024/10/5 15:57,,,,,,
