名称,J_shopt href,地址,city,经纬度,tel,time,北京树村丽景苑距离,北京树村丽景苑时间,北京海淀区万家灯火大厦距离,北京海淀区万家灯火大厦时间,北京建外soho西区距离,北京建外soho西区时间
十千·时迁·食仟,https://www.dianping.com/shop/G4HQ6A6EI9bIs10e,烂缦胡同130号,[北京],"116.371857,39.883796",18641108554,2025/1/8 20:09,25.13 km,79 min,25.09 km,90 min,9.10 km,42 min
散步去,https://www.dianping.com/shop/GaMybjSRlHxH9RNW,永定门东街9号（康铂酒店停车场入口处）,[北京],"116.405892,39.873471",13146503160,2025/1/8 20:09,29.28 km,81 min,32.18 km,92 min,Error,Error
内观堂Bookstore,https://www.dianping.com/shop/l8z3Oox7BJYN5RpX,铁树斜街44号,[北京],"116.389391,39.893442",13601019326,2025/1/8 20:09,25.30 km,80 min,24.95 km,87 min,8.01 km,35 min
无名冒菜,https://www.dianping.com/shop/GaGS5tvUBBAG8Lop,大庆路西段242号,[西安],"108.888521,34.269015",17721886877,2025/1/8 20:09,,,,,,
伍堡巧嫂米线,https://www.dianping.com/shop/k33GdtnmQfqlNd6d,西七路与北大街交口和平电影院旁,[西安],"108.947621,34.261701",18992830177,2025/1/8 20:09,,,,,,
清真盛荣坊砂锅,https://www.dianping.com/shop/H6JVHm1f9StS00mj,西大街大学习巷34号,[西安],"108.936000,34.260710",87216628,2025/1/8 20:09,,,,,,
苗记麻什,https://www.dianping.com/shop/Gaki3lzlsH3we3ap,丈八北路7号南风大厦一楼门面房(近日化厂),[西安],"108.871710,34.242636",,2025/1/8 20:09,,,,,,
阿丽娅·新疆拌面,https://www.dianping.com/shop/G3WnZRIHlYlt5QQS,红小巷茂源大厦5号,[西安],"108.952061,34.221278",17392539279,2025/1/8 20:09,,,,,,
闫老板擀面皮,https://www.dianping.com/shop/k9EwYg5uYmMFXrPt,枣园街道枣园西路东200米(皂河地铁站A西北口步行430米),[西安],"108.856282,34.285188",18897214008,2025/1/8 20:09,,,,,,
茅屋凉皮,https://www.dianping.com/shop/k9sbJuOFQPqDThSg,科技路209号新西兰小区1栋10101号商铺,[西安],"108.891894,34.237287",15891113956,2025/1/8 20:09,,,,,,
风入松书店,https://www.dianping.com/shop/G2WEsaDz8oBDQXfm,中关村街道中关村大街9号A座东门(原中关村邮局南楼),[北京],"116.315807,39.982316",62571006,2025/1/8 20:09,6.66 km,28 min,9.33 km,38 min,20.80 km,78 min
新长福·新湖南新湘菜,https://www.dianping.com/shop/l3NwRrrmBbLqGGoE,首创股份新大都饭店1层,[北京],"116.337005,39.933745",68310256,2025/1/8 20:09,16.28 km,42 min,Error,Error,13.63 km,60 min
新长福,https://www.dianping.com/shop/k5gJJEuKYnltuzjQ,人民东路199号,[长沙],"113.035881,28.185912",19572948853,2025/1/8 20:09,,,,,,
新长福,https://www.dianping.com/shop/iLGrcWsBlBQhVw0e,芙蓉中路一段540号国贸大厦2-3楼,[长沙],"112.984543,28.197133",84415000,2025/1/8 20:09,,,,,,
怡己·三ツ矢堂日式料理,https://www.dianping.com/shop/l6xO4dSx315Rdljl,国贸公寓一层,[北京],"116.457399,39.910851",85958500,2025/1/8 20:09,25.87 km,92 min,Error,Error,1.82 km,9 min
半勺舒舒生日蛋糕店,https://www.dianping.com/shop/l6guemTs2xpjL6oA,祭台巷太乙城购物中心B座北5-01A（停车场入口向东50米临街店铺）,[西安],"108.973225,34.234975",13152165216,2025/1/8 20:09,,,,,,
济州爱肉堂,https://www.dianping.com/shop/l3TS5owLaWPHhtIZ,中关村街道双榆树一街双榆树北里甲18-2号(当代商场北侧东100米路北),[北京],"116.323765,39.971439",13721351237,2025/1/8 20:09,8.22 km,37 min,14.86 km,51 min,18.97 km,69 min
魏本道居酒屋,https://www.dianping.com/shop/k7nkuG6p6OlRjQ94,南大街3号一楼附3号,[西安],"108.947310,34.253564",19929973848,2025/1/8 20:09,,,,,,
狮城煲仔屋,https://www.dianping.com/shop/FaU9epIGwsWQBoAp,菊花园13号,[西安],"108.957173,34.256558",18992860612,2025/1/8 20:09,,,,,,
狮城煲仔屋,https://www.dianping.com/shop/G3O34fHezemoNpTa,丈八沟街道白沙路学校门面房1号、2号(市53中旁),[西安],"108.908971,34.224848",18049415280,2025/1/8 20:09,,,,,,
Why,https://www.dianping.com/shop/H2ThKEAES3wgQWcD,景龙池67号,[西安],"108.985285,34.263363",15829928612,2025/1/8 20:09,,,,,,
永红川菜小馆,https://www.dianping.com/shop/G1Ysp1m0t8kBduTR,探花路曲江六号,[西安],"108.958801,34.210356",18992842148,2025/1/8 20:09,,,,,,
BBBistro·币币币餐吧,https://www.dianping.com/shop/H19osdJijqVcKVw9,半截塔路53号首创·郎园Station进南门左转玻璃房,[北京],"116.516554,39.966293",15010986536,2025/1/5 20:09,27.52 km,74 min,Error,Error,12.62 km,40 min
北京全聚德,https://www.dianping.com/shop/H6jEARbpZrXRecCg,前门西大街14号,[北京],"116.385061,39.899548",83193101,2025/1/5 19:30,24.23 km,75 min,Error,Error,8.52 km,35 min
WANCHUNN万春,https://www.dianping.com/shop/Ga0wFpgYGyOJ5kyL,沙滩后街17号,[北京],"116.402852,39.925547",15210533638,2025/1/5 19:29,19.76 km,70 min,Error,Error,7.71 km,30 min
硬舌酒肉,https://www.dianping.com/shop/H1sB3Kqx36sO1jAC,北三环西路甲18号院一体化下沉广场B1层（抖音大厦1733商业空间）,[北京],"116.600372,39.926923",18311267173,2025/1/5 15:14,33.49 km,91 min,Error,Error,Error,Error
硬舌酒肉,https://www.dianping.com/shop/H2m1mDT88YHwzGNk,太仆寺街30号,[北京],,66023492,2025/1/5 15:14,Error,Error,Error,Error,7.76 km,27 min
ANINE BING,https://www.dianping.com/shop/k3KnRIHW8H89Sx6X,工人体育场北路三里屯太古里南区一层S4-13号,[北京],"116.454344,39.934882",84059828,2025/1/5 10:37,23.45 km,81 min,Error,Error,4.59 km,29 min
Acne Studios,https://www.dianping.com/shop/E3rmPYfcqyerN9e5,建国路87号3楼D3031,[北京],"116.478965,39.909977",65835931,2025/1/5 10:35,31.67 km,89 min,Error,Error,2.40 km,15 min
Acne Studios,https://www.dianping.com/shop/l7dFSn0M4OztjGHJ,三里屯路19号院太古里南区S2-10&20单元,[北京],"116.407387,39.904179",64685668,2025/1/5 10:35,23.49 km,82 min,Error,Error,Error,Error
TWOI Design Lab,https://www.dianping.com/shop/k7ipa7NfE0LP5bpl,朝阳三里屯T+mall2层南侧,[北京],"116.454118,39.935589",15652730990,2025/1/5 10:34,23.64 km,82 min,Error,Error,Error,Error
